         10865342 function calls (10865160 primitive calls) in 1022.365 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3872    0.022    0.000    0.022    0.000 {method 'copy' of 'dict' objects}
     2580    0.022    0.000    0.445    0.000 /usr/lib/python3.6/multiprocessing/context.py:64(Lock)
     2580    0.022    0.000    0.034    0.000 /usr/lib/python3.6/weakref.py:165(__setitem__)
     3780    0.022    0.000    0.022    0.000 {method 'uniform' of 'mtrand.RandomState' objects}
      645    0.021    0.000  109.681    0.170 /usr/lib/python3.6/urllib/request.py:1276(do_open)
      756    0.021    0.000    0.417    0.001 /scratch/yyl/noisecorre/transit_basic.py:54(__init__)
    10030    0.021    0.000    0.021    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      645    0.021    0.000   87.900    0.136 /usr/lib/python3.6/http/client.py:1287(getresponse)
      645    0.020    0.000    0.930    0.001 /usr/local/lib/python3.6/dist-packages/kplr/api.py:208(<listcomp>)
     9037    0.019    0.000    0.019    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      645    0.019    0.000    0.037    0.000 /usr/lib/python3.6/multiprocessing/pool.py:663(__init__)
      645    0.019    0.000    0.030    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:25(linspace)
     4959    0.019    0.000    4.371    0.001 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:50(_wrapfunc)
     1290    0.019    0.000    0.021    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/filters.py:73(generate_dcpl)
     1935    0.019    0.000    0.020    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/base.py:119(get_lcpl)
      645    0.018    0.000    0.267    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:230(__init__)
      645    0.018    0.000    0.068    0.000 /usr/lib/python3.6/http/client.py:227(__init__)
     2580    0.018    0.000    0.052    0.000 /usr/lib/python3.6/threading.py:498(__init__)
      645    0.017    0.000    0.513    0.001 /usr/local/lib/python3.6/dist-packages/kplr/api.py:439(<listcomp>)
      645    0.017    0.000    0.033    0.000 /usr/lib/python3.6/email/feedparser.py:139(__init__)
     1290    0.017    0.000    0.494    0.000 /usr/lib/python3.6/multiprocessing/queues.py:313(__init__)
    67104    0.017    0.000    0.017    0.000 {method 'lower' of 'str' objects}
     5160    0.017    0.000    0.029    0.000 /usr/lib/python3.6/email/_policybase.py:293(header_source_parse)
     2580    0.017    0.000    0.108    0.000 /usr/lib/python3.6/tempfile.py:299(<listcomp>)
     3225    0.016    0.000    0.053    0.000 /usr/lib/python3.6/multiprocessing/process.py:128(is_alive)
      645    0.016    0.000    0.020    0.000 /usr/lib/python3.6/multiprocessing/reduction.py:38(__init__)
      645    0.016    0.000    0.016    0.000 /usr/lib/python3.6/socket.py:409(_real_close)
     2580    0.016    0.000    0.183    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:115(_make_name)
     2580    0.016    0.000  781.788    0.303 /usr/lib/python3.6/threading.py:533(wait)
      645    0.016    0.000    0.079    0.000 /usr/lib/python3.6/multiprocessing/pool.py:368(_map_async)
    12049    0.016    0.000    0.016    0.000 {built-in method builtins.getattr}
    10675    0.016    0.000    0.016    0.000 /usr/lib/python3.6/socket.py:611(readable)
     1290    0.016    0.000    0.518    0.000 /usr/lib/python3.6/multiprocessing/context.py:109(SimpleQueue)
     5805    0.016    0.000    0.018    0.000 /usr/lib/python3.6/threading.py:1230(current_thread)
     1290    0.015    0.000    0.015    0.000 {method 'sendall' of '_socket.socket' objects}
      645    0.015    0.000    0.015    0.000 /usr/lib/python3.6/socket.py:560(__init__)
     9174    0.015    0.000    0.015    0.000 {method 'decode' of 'bytes' objects}
      645    0.015    0.000   13.376    0.021 transitsim.py:31(__init__)
      649    0.015    0.000    0.033    0.000 /usr/lib/python3/dist-packages/pandas/core/frame.py:2115(__getitem__)
     2580    0.015    0.000    0.064    0.000 /usr/lib/python3.6/email/message.py:564(get_content_type)
