         7221589 function calls (7220879 primitive calls) in 531.857 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5351    0.022    0.000    0.026    0.000 <frozen importlib._bootstrap>:416(parent)
     5562    0.022    0.000    0.116    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3186(__getitem__)
    15045    0.021    0.000    0.021    0.000 {method 'format' of 'str' objects}
    63840    0.021    0.000    0.032    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:6198(isMaskedArray)
     2163    0.021    0.000    0.021    0.000 /usr/lib/python3.6/threading.py:215(__init__)
      309    0.020    0.000    0.190    0.001 /usr/lib/python3.6/http/client.py:194(parse_headers)
     9888    0.019    0.000    0.028    0.000 /usr/lib/python3.6/random.py:223(_randbelow)
     7119    0.019    0.000    0.051    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:4392(count)
    38074    0.019    0.000    0.019    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3570(_get_data)
     2163    0.018    0.000    0.018    0.000 {built-in method posix.pipe}
      200    0.018    0.000    0.198    0.001 transitsim.py:149(save_to_hdf)
      200    0.017    0.000    0.017    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:42(make_fapl)
     6051    0.017    0.000    0.023    0.000 {method 'join' of 'str' objects}
     4641    0.016    0.000    0.024    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3383(__setmask__)
      309    0.016    0.000    0.035    0.000 /usr/lib/python3.6/email/feedparser.py:471(_parse_headers)
      618    0.016    0.000    0.100    0.000 /usr/lib/python3.6/email/feedparser.py:218(_parsegen)
     4788    0.016    0.000   61.254    0.013 /usr/lib/python3.6/socket.py:572(readinto)
    67370    0.016    0.000    0.016    0.000 {method 'insert' of 'list' objects}
     6181    0.016    0.000    0.090    0.000 {built-in method builtins.next}
     1854    0.015    0.000    0.598    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:5213(var)
     9888    0.015    0.000    0.045    0.000 /usr/lib/python3.6/random.py:255(choice)
     8670    0.015    0.000    0.070    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3669(filled)
   134351    0.015    0.000    0.015    0.000 {built-in method _operator.index}
    67021    0.015    0.000    0.015    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1577(<listcomp>)
      309    0.015    0.000    3.291    0.011 /usr/local/lib/python3.6/dist-packages/batman/transitmodel.py:71(__init__)
    77244    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
    78029    0.014    0.000    0.014    0.000 {method 'get' of 'dict' objects}
      309    0.014    0.000   71.885    0.233 /usr/local/lib/python3.6/dist-packages/kplr/api.py:386(_data_search)
      309    0.014    0.000    6.944    0.022 /usr/lib/python3.6/multiprocessing/context.py:114(Pool)
     5265    0.014    0.000    0.120    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:4961(sum)
     1848    0.014    0.000    0.046    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:925(__call__)
     2781    0.014    0.000    0.032    0.000 /usr/lib/python3.6/email/message.py:462(get)
    10279    0.014    0.000    0.014    0.000 {built-in method posix.getpid}
      309    0.014    0.000    0.022    0.000 /usr/lib/python3.6/socket.py:218(makefile)
    69359    0.014    0.000    0.028    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1360(getmask)
     4090    0.014    0.000    0.014    0.000 {method 'add' of 'set' objects}
      309    0.013    0.000    3.637    0.012 /scratch/yyl/noisecorre/KOI_simulation_utils.py:10(batman_planet)
     4009    0.013    0.000   43.223    0.011 {method 'readline' of '_io.BufferedReader' objects}
      614    0.013    0.000   18.057    0.029 {method 'read' of '_io.BufferedReader' objects}
    20475    0.013    0.000    0.187    0.000 {method 'view' of 'numpy.ndarray' objects}
      309    0.013    0.000   41.457    0.134 /usr/lib/python3.6/http/client.py:257(_read_status)
      309    0.013    0.000   41.675    0.135 /usr/lib/python3.6/http/client.py:290(begin)
     1236    0.012    0.000    0.074    0.000 /usr/lib/python3.6/tempfile.py:296(__next__)
      400    0.012    0.000    0.012    0.000 {built-in method h5py.h5t.py_create}
     4309    0.012    0.000    0.048    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1696(mask_or)
